State,Year,Corrections -  General Fund,Corrections -  Federal Funds,Corrections -  Other State Funds,Corrections -  Bond Funds,Corrections -  Total Funds,Total All Spending - General Fund,Total All Spending - Federal Funds,Total All Spending - Other State Funds,Total All Spending - Bond Funds,Total All Spending - Total Funds,General Fund - % Corrections,Federal Funds - % Corrections,Other State Funds - % Corrections,Bond Funds - % Corrections,Total Funds - % Corrections
Alabama,2018,$533.0M,$25.0M,$101.0M,$0.0M,$659.0M,"$8,259.0M","$9,958.0M","$8,456.0M",$589.0M,"$27,262.0M",6.5%,0.3%,1.2%,0.0%,2.4%
Alabama,2019,$610.0M,$26.0M,$115.0M,$0.0M,$751.0M,"$8,481.0M","$10,165.0M","$7,774.0M",$277.0M,"$26,697.0M",7.2%,0.3%,1.5%,0.0%,2.8%
Alaska,1991,$140.6M,$0.5M,$3.6M,$0.0M,$144.7M,"$2,559.5M",$680.9M,$528.8M,$0.0M,"$3,769.2M",5.5%,0.1%,0.7%,,3.8%
Alaska,1992,$139.7M,$0.4M,$3.7M,$0.0M,$143.8M,"$2,886.0M",$761.6M,$843.6M,$0.0M,"$4,491.2M",4.8%,0.1%,0.4%,,3.2%
Alaska,1993,$134.0M,$0.0M,$3.9M,$0.0M,$137.9M,"$2,695.5M",$860.4M,$770.6M,$0.0M,"$4,326.5M",5.0%,0.0%,0.5%,,3.2%
Alaska,1994,$135.5M,$0.0M,$3.6M,$0.0M,$139.1M,"$3,032.7M",$968.2M,$979.4M,$0.0M,"$4,980.3M",4.5%,0.0%,0.4%,,2.8%
Alaska,1995,$135.4M,$1.7M,$4.0M,$0.0M,$141.1M,"$2,496.9M","$1,206.9M",$889.5M,$0.0M,"$4,593.3M",5.4%,0.1%,0.4%,,3.1%
Alaska,1996,$145.3M,$3.1M,$5.0M,$0.0M,$153.4M,"$2,334.3M",$948.9M,$884.7M,$0.0M,"$4,167.9M",6.2%,0.3%,0.6%,,3.7%
Alaska,1997,$151.3M,$1.7M,$5.6M,$0.0M,$158.6M,"$2,365.5M",$989.9M,$877.9M,$0.0M,"$4,233.3M",6.4%,0.2%,0.6%,,3.7%
Alaska,1998,$154.8M,$3.4M,$6.1M,$0.0M,$164.3M,"$2,301.8M","$1,036.0M",$947.4M,$0.0M,"$4,285.2M",6.7%,0.3%,0.6%,,3.8%
Alaska,1999,$161.4M,$7.4M,$6.7M,$0.8M,$176.3M,"$2,313.9M","$1,488.9M","$1,174.2M",$199.6M,"$5,176.6M",7.0%,0.5%,0.6%,0.4%,3.4%
Alaska,2000,,,,,,,,,,,,,,,
Alaska,2001,,,,,,,,,,,,,,,
Alaska,2002,$182.0M,$10.0M,$20.0M,$0.0M,$212.0M,"$2,585.0M","$2,338.0M",$957.0M,$151.0M,"$6,031.0M",7.0%,0.4%,2.1%,0.0%,3.5%
Alaska,2003,$187.0M,$6.0M,$22.0M,$0.0M,$215.0M,"$2,540.0M","$2,482.0M","$1,043.0M",$594.0M,"$6,659.0M",7.4%,0.2%,2.1%,0.0%,3.2%
Alaska,2004,$186.0M,$6.0M,$25.0M,$0.0M,$217.0M,"$2,268.0M","$2,773.0M","$2,280.0M",$0.0M,"$7,321.0M",8.2%,0.2%,1.1%,,3.0%
Alaska,2005,$194.0M,$6.0M,$22.0M,$2.0M,$224.0M,"$2,858.0M","$3,287.0M","$2,891.0M",$68.0M,"$9,104.0M",6.8%,0.2%,0.8%,2.9%,2.5%
Alaska,2006,$219.0M,$7.0M,$16.0M,$0.0M,$242.0M,"$3,145.0M","$2,856.0M","$3,336.0M",$304.0M,"$9,641.0M",7.0%,0.2%,0.5%,0.0%,2.5%
Alaska,2007,$248.0M,$5.0M,$23.0M,$0.0M,$276.0M,"$4,335.0M","$3,004.0M","$3,903.0M",$300.0M,"$11,542.0M",5.7%,0.2%,0.6%,0.0%,2.4%
Alaska,2008,$259.0M,$5.0M,$25.0M,$0.0M,$289.0M,"$5,090.0M","$2,314.0M","$4,226.0M",$26.0M,"$11,656.0M",5.1%,0.2%,0.6%,0.0%,2.5%
Alaska,2009,$283.0M,$6.0M,$31.0M,$0.0M,$320.0M,"$7,176.0M","$3,007.0M","$2,054.0M",$345.0M,"$12,582.0M",3.9%,0.2%,1.5%,0.0%,2.5%
Alaska,2010,$280.0M,$4.0M,$31.0M,$0.0M,$315.0M,"$5,627.0M","$2,925.0M","$1,209.0M",$0.0M,"$9,761.0M",5.0%,0.1%,2.6%,,3.2%
Alaska,2011,$309.0M,$5.0M,$31.0M,$0.0M,$345.0M,"$8,948.0M","$3,173.0M","$1,643.0M",$228.0M,"$13,992.0M",3.5%,0.2%,1.9%,0.0%,2.5%
Alaska,2012,$315.0M,$5.0M,$38.0M,$0.0M,$358.0M,"$7,400.0M","$3,017.0M","$1,322.0M",$50.0M,"$11,789.0M",4.3%,0.2%,2.9%,0.0%,3.0%
Alaska,2013,$347.0M,$4.0M,$21.0M,$0.0M,$372.0M,"$7,690.0M","$2,589.0M","$1,258.0M",$485.0M,"$12,022.0M",4.5%,0.2%,1.7%,0.0%,3.1%
Alaska,2014,$354.1M,$6.4M,$16.7M,$0.0M,$377.1M,"$7,226.8M","$2,705.7M","$1,431.9M",$35.0M,"$11,399.4M",4.9%,0.2%,1.2%,0.0%,3.3%
Alaska,2015,$353.8M,$6.2M,$15.7M,$0.0M,$375.8M,"$5,981.8M","$2,944.7M","$4,337.4M",$172.5M,"$13,436.4M",5.9%,0.2%,0.4%,0.0%,2.8%
Alaska,2016,$330.0M,$7.0M,$28.0M,$0.0M,$365.0M,"$5,473.8M","$3,276.2M","$1,274.5M",$7.0M,"$10,031.5M",6.0%,0.2%,2.2%,0.0%,3.6%
Alaska,2017,$322.9M,$7.8M,$35.9M,$0.0M,$366.6M,"$4,485.6M","$3,763.2M","$1,483.4M",$0.0M,"$9,732.2M",7.2%,0.2%,2.4%,,3.8%
Alaska,2018,$340.0M,$7.8M,$7.1M,$0.0M,$354.9M,"$4,504.3M","$3,614.1M","$2,184.3M",$0.0M,"$10,302.7M",7.5%,0.2%,0.3%,,3.4%
Alaska,2019,$379.0M,$10.4M,$8.3M,$0.0M,$397.7M,"$5,943.1M","$3,972.6M","$1,787.7M",$0.0M,"$11,703.4M",6.4%,0.3%,0.5%,,3.4%
Arizona,1991,$278.4M,$1.8M,$47.5M,$0.0M,$327.7M,"$3,336.2M","$1,877.7M","$1,464.8M",$191.6M,"$6,870.3M",8.3%,0.1%,3.2%,0.0%,4.8%
Arizona,1992,$280.4M,$1.5M,$20.8M,$0.0M,$302.7M,"$3,600.7M","$2,214.7M","$1,523.8M",$145.1M,"$7,484.3M",7.8%,0.1%,1.4%,0.0%,4.0%
Arizona,1993,$283.0M,$1.9M,$19.4M,$0.0M,$304.3M,"$3,709.0M","$2,667.2M","$1,908.7M",$130.5M,"$8,415.4M",7.6%,0.1%,1.0%,0.0%,3.6%
Arizona,1994,$312.3M,$2.0M,$24.8M,$0.0M,$339.1M,"$3,934.8M","$2,999.1M","$1,984.8M",$69.3M,"$8,988.0M",7.9%,0.1%,1.2%,0.0%,3.8%
Arizona,1995,$384.7M,$2.1M,$19.6M,$0.0M,$406.4M,"$4,389.5M","$3,185.1M","$2,282.1M",$65.9M,"$9,922.6M",8.8%,0.1%,0.9%,0.0%,4.1%
Arizona,1996,$463.6M,$4.9M,$80.6M,$0.0M,$549.1M,"$4,520.7M","$3,211.7M","$4,965.7M",$66.6M,"$12,764.7M",10.3%,0.2%,1.6%,0.0%,4.3%
Arizona,1997,$514.2M,$19.8M,$68.8M,$0.0M,$602.8M,"$4,835.1M","$3,435.6M","$4,197.9M",$67.9M,"$12,536.5M",10.6%,0.6%,1.6%,0.0%,4.8%
Arizona,1998,$576.5M,$34.1M,$155.3M,$0.0M,$765.9M,"$5,275.0M","$3,313.8M","$4,423.6M",$199.4M,"$13,211.8M",10.9%,1.0%,3.5%,0.0%,5.8%
Arizona,1999,$585.5M,$22.2M,$97.0M,$0.0M,$704.7M,"$5,905.5M","$3,444.2M","$4,797.8M",$224.1M,"$14,371.6M",9.9%,0.6%,2.0%,0.0%,4.9%
Arizona,2000,$621.5M,$15.0M,$52.0M,$0.0M,$688.5M,"$6,011.5M","$3,545.0M","$5,558.0M",$251.0M,"$15,365.5M",10.3%,0.4%,0.9%,0.0%,4.5%
Arizona,2001,$645.0M,$23.0M,$43.0M,$0.0M,$711.0M,"$6,372.0M","$3,751.0M","$5,936.0M",$293.0M,"$16,352.0M",10.1%,0.6%,0.7%,0.0%,4.3%
Arizona,2002,$603.0M,$22.0M,$51.0M,$0.0M,$676.0M,"$5,989.0M","$4,435.0M","$7,615.0M",$375.0M,"$18,414.0M",10.1%,0.5%,0.7%,0.0%,3.7%
Arizona,2003,$698.5M,$5.0M,$56.9M,$0.0M,$760.4M,"$5,955.0M","$6,169.3M","$6,234.8M",$394.0M,"$18,753.1M",11.7%,0.1%,0.9%,0.0%,4.1%
Arizona,2004,$710.3M,$12.0M,$95.8M,$0.0M,$818.1M,"$7,588.6M","$6,856.8M","$6,683.5M",$599.0M,"$21,727.9M",9.4%,0.2%,1.4%,0.0%,3.8%
Arizona,2005,$752.0M,$54.0M,$117.0M,$0.0M,$923.0M,"$7,737.0M","$8,412.0M","$7,170.0M",$569.0M,"$23,888.0M",9.7%,0.6%,1.6%,0.0%,3.9%
Arizona,2006,$800.0M,$34.0M,$96.0M,$0.0M,$930.0M,"$8,676.0M","$8,289.0M","$7,933.0M",$478.0M,"$25,376.0M",9.2%,0.4%,1.2%,0.0%,3.7%
Arizona,2007,$821.0M,$1.0M,$90.0M,$0.0M,$912.0M,"$10,074.4M","$7,227.5M","$5,580.1M",$445.0M,"$23,327.0M",8.1%,0.0%,1.6%,0.0%,3.9%
Arizona,2008,$894.0M,$30.0M,$102.0M,$0.0M,"$1,026.0M","$10,368.0M","$7,820.0M","$6,405.0M",$654.0M,"$25,247.0M",8.6%,0.4%,1.6%,0.0%,4.1%
Arizona,2009,$922.0M,$15.0M,$91.0M,$0.0M,"$1,028.0M","$9,239.0M","$10,240.0M","$6,768.0M",$982.0M,"$27,229.0M",10.0%,0.1%,1.3%,0.0%,3.8%
Arizona,2010,$871.0M,$65.0M,$77.0M,$0.0M,"$1,013.0M","$9,016.0M","$10,626.0M","$7,192.0M","$1,112.0M","$27,946.0M",9.7%,0.6%,1.1%,0.0%,3.6%
Arizona,2011,$899.0M,$12.0M,$70.0M,$0.0M,$981.0M,"$8,306.0M","$14,971.0M","$6,715.0M",$741.0M,"$30,733.0M",10.8%,0.1%,1.0%,0.0%,3.2%
Arizona,2012,$963.0M,$18.0M,$50.0M,$0.0M,"$1,031.0M","$8,413.8M","$12,298.5M","$6,783.2M",$585.2M,"$28,080.6M",11.4%,0.1%,0.7%,0.0%,3.7%
Arizona,2013,$947.0M,$8.0M,$95.0M,$0.0M,"$1,050.0M","$8,414.0M","$12,008.0M","$6,946.0M",$192.3M,"$27,560.3M",11.3%,0.1%,1.4%,0.0%,3.8%
Arizona,2014,"$1,001.0M",$9.0M,$93.0M,$0.0M,"$1,103.0M","$8,700.0M","$13,488.0M","$13,569.0M",$154.0M,"$35,911.0M",11.5%,0.1%,0.7%,0.0%,3.1%
Arizona,2015,$976.0M,$7.0M,$104.0M,$0.0M,"$1,087.0M","$9,269.0M","$13,156.0M","$16,756.0M",$106.0M,"$39,287.0M",10.5%,0.1%,0.6%,0.0%,2.8%
Arizona,2016,"$1,115.0M",$6.0M,$93.0M,$0.0M,"$1,214.0M","$9,690.0M","$14,927.0M","$16,810.0M",$739.0M,"$42,166.0M",11.5%,0.0%,0.6%,0.0%,2.9%
Arizona,2017,"$1,071.0M",$9.0M,$66.0M,$0.0M,"$1,146.0M","$9,608.0M","$15,016.0M","$10,440.0M",$485.0M,"$35,549.0M",11.1%,0.1%,0.6%,0.0%,3.2%
Arizona,2018,"$1,087.0M",$8.0M,$68.0M,$0.0M,"$1,163.0M","$9,815.0M","$15,999.0M","$11,307.0M",$373.0M,"$37,494.0M",11.1%,0.1%,0.6%,0.0%,3.1%
Arizona,2019,"$1,122.0M",$9.0M,$72.0M,$0.0M,"$1,203.0M","$10,389.0M","$15,544.0M","$11,740.0M",$333.0M,"$38,006.0M",10.8%,0.1%,0.6%,0.0%,3.2%
Arkansas,1991,$72.9M,$0.1M,$20.7M,$0.0M,$93.7M,"$1,872.6M","$1,331.2M","$1,814.6M",$18.7M,"$5,037.1M",3.9%,0.0%,1.1%,0.0%,1.9%
Arkansas,1992,$72.0M,$0.1M,$24.0M,$0.0M,$96.1M,"$1,926.8M","$1,620.0M","$2,232.8M",$39.3M,"$5,818.9M",3.7%,0.0%,1.1%,0.0%,1.7%
Arkansas,1993,$82.0M,$0.1M,$27.8M,$0.0M,$109.9M,"$2,040.0M","$1,813.8M","$2,372.2M",$48.8M,"$6,274.8M",4.0%,0.0%,1.2%,0.0%,1.8%
Arkansas,1994,$92.8M,$0.0M,$19.8M,$0.0M,$112.6M,"$2,199.2M","$1,796.6M","$2,573.7M",$38.5M,"$6,608.0M",4.2%,0.0%,0.8%,0.0%,1.7%
Arkansas,1995,$99.3M,$0.0M,$26.8M,$0.0M,$126.1M,"$2,370.2M","$1,845.9M","$2,812.4M",$45.2M,"$7,073.7M",4.2%,0.0%,1.0%,0.0%,1.8%
Arkansas,1996,$109.5M,$0.0M,$28.2M,$0.0M,$137.7M,"$2,489.0M","$1,961.8M","$3,087.9M",$70.1M,"$7,608.8M",4.4%,0.0%,0.9%,0.0%,1.8%
Arkansas,1997,$120.3M,$0.1M,$52.6M,$0.0M,$173.0M,"$2,624.3M","$2,052.5M","$3,529.6M",$64.7M,"$8,271.1M",4.6%,0.0%,1.5%,0.0%,2.1%
Arkansas,1998,$145.7M,$0.4M,$29.9M,$0.0M,$176.0M,"$2,839.4M","$2,136.4M","$3,828.0M",$113.5M,"$8,917.3M",5.1%,0.0%,0.8%,0.0%,2.0%
Arkansas,1999,$148.7M,$2.0M,$36.9M,$0.0M,$187.6M,"$2,981.6M","$2,037.0M","$4,374.2M",$96.6M,"$9,489.3M",5.0%,0.1%,0.8%,0.0%,2.0%
Arkansas,2000,$160.7M,$7.4M,$34.0M,$0.0M,$202.1M,"$3,119.5M","$2,508.3M","$4,385.5M",$78.6M,"$10,091.8M",5.2%,0.3%,0.8%,0.0%,2.0%
Arkansas,2001,$165.0M,$3.0M,$39.0M,$0.0M,$207.0M,"$3,242.0M","$3,155.0M","$4,678.0M",$81.0M,"$11,156.0M",5.1%,0.1%,0.8%,0.0%,1.9%
Arkansas,2002,$179.6M,$3.9M,$36.4M,$0.0M,$219.9M,"$3,213.8M","$3,460.7M","$5,346.2M",$49.1M,"$12,069.8M",5.6%,0.1%,0.7%,0.0%,1.8%
Arkansas,2003,$179.3M,$2.4M,$45.7M,$0.0M,$227.4M,"$3,237.9M","$3,796.7M","$5,543.4M",$52.7M,"$12,630.7M",5.5%,0.1%,0.8%,0.0%,1.8%
Arkansas,2004,$207.9M,$1.5M,$35.3M,$0.0M,$244.7M,"$3,505.0M","$4,234.3M","$5,868.8M",$65.7M,"$13,673.7M",5.9%,0.0%,0.6%,0.0%,1.8%
Arkansas,2005,$263.0M,$1.0M,$44.0M,$0.0M,$308.0M,"$3,596.0M","$4,240.0M","$6,398.0M",$56.0M,"$14,290.0M",7.3%,0.0%,0.7%,0.0%,2.2%
Arkansas,2006,$299.0M,$1.0M,$44.0M,$0.0M,$344.0M,"$3,783.0M","$4,602.0M","$6,859.0M",$59.0M,"$15,303.0M",7.9%,0.0%,0.6%,0.0%,2.2%
Arkansas,2007,$313.0M,$1.0M,$40.0M,$0.0M,$354.0M,"$4,026.0M","$4,594.0M","$7,439.0M",$54.0M,"$16,113.0M",7.8%,0.0%,0.5%,0.0%,2.2%
Arkansas,2008,$349.0M,$1.0M,$43.0M,$0.0M,$393.0M,"$4,274.0M","$4,806.0M","$7,756.0M",$63.0M,"$16,899.0M",8.2%,0.0%,0.6%,0.0%,2.3%
Arkansas,2009,$353.0M,$1.0M,$50.0M,$0.0M,$404.0M,"$4,380.0M","$5,425.0M","$8,337.0M",$51.0M,"$18,193.0M",8.1%,0.0%,0.6%,0.0%,2.2%
Arkansas,2010,$343.0M,$4.0M,$78.0M,$0.0M,$425.0M,"$4,223.0M","$6,894.0M","$8,716.0M",$89.0M,"$19,922.0M",8.1%,0.1%,0.9%,0.0%,2.1%
Arkansas,2011,$366.0M,$1.0M,$75.0M,$0.0M,$442.0M,"$4,453.0M","$6,819.0M","$8,932.0M",$143.0M,"$20,347.0M",8.2%,0.0%,0.8%,0.0%,2.2%
Arkansas,2012,$391.0M,$1.0M,$63.0M,$0.0M,$455.0M,"$4,582.0M","$6,278.0M","$9,693.0M",$135.0M,"$20,688.0M",8.5%,0.0%,0.6%,0.0%,2.2%
Arkansas,2013,$384.9M,$0.7M,$62.9M,$0.0M,$448.5M,"$4,743.6M","$6,068.0M","$10,432.7M",$202.9M,"$21,447.2M",8.1%,0.0%,0.6%,0.0%,2.1%
Arkansas,2014,$401.3M,$1.5M,$70.1M,$0.0M,$472.9M,"$4,908.4M","$6,503.3M","$11,195.9M",$155.8M,"$22,763.4M",8.2%,0.0%,0.6%,0.0%,2.1%
Arkansas,2015,$438.4M,$0.0M,$56.5M,$0.0M,$494.9M,"$5,061.3M","$7,095.1M","$11,477.7M",$170.6M,"$23,804.7M",8.7%,0.0%,0.5%,0.0%,2.1%
Arkansas,2016,$442.7M,$0.0M,$77.1M,$0.0M,$519.8M,"$5,170.1M","$7,416.0M","$11,391.8M",$57.7M,"$24,035.5M",8.6%,0.0%,0.7%,0.0%,2.2%
Arkansas,2017,$433.7M,$0.0M,$79.8M,$0.0M,$513.5M,"$5,261.3M","$7,856.6M","$11,988.3M",$58.4M,"$25,164.6M",8.2%,0.0%,0.7%,0.0%,2.0%
Arkansas,2018,$455.8M,$0.0M,$62.4M,$0.0M,$518.2M,"$5,373.8M","$7,920.5M","$12,299.3M",$43.5M,"$25,637.1M",8.5%,0.0%,0.5%,0.0%,2.0%
Arkansas,2019,$461.9M,$0.0M,$63.0M,$0.0M,$524.8M,"$5,504.0M","$7,829.4M","$12,383.6M",$54.4M,"$25,771.5M",8.4%,0.0%,0.5%,0.0%,2.0%
California,1991,"$2,731.5M",$1.5M,$14.9M,$475.6M,"$3,223.5M","$40,263.1M","$21,483.9M","$8,637.7M","$2,544.2M","$72,928.9M",6.8%,0.0%,0.2%,18.7%,4.4%
California,1992,"$3,049.2M",$1.5M,$13.1M,$518.6M,"$3,582.4M","$43,327.2M","$26,722.6M","$11,192.6M","$1,760.5M","$83,002.9M",7.0%,0.0%,0.1%,29.5%,4.3%
California,1993,"$2,683.8M",$1.8M,$43.8M,$188.0M,"$2,917.4M","$40,946.9M","$29,582.0M","$11,652.2M","$3,879.7M","$86,060.8M",6.6%,0.0%,0.4%,4.8%,3.4%
California,1994,"$3,065.7M",$1.7M,$44.9M,$555.5M,"$3,667.8M","$38,957.9M","$32,603.8M","$14,415.7M","$2,166.5M","$88,143.9M",7.9%,0.0%,0.3%,25.6%,4.2%
California,1995,"$3,624.8M",$34.8M,$9.8M,$136.7M,"$3,806.1M","$41,961.5M","$31,497.3M","$11,942.9M",$708.1M,"$86,109.8M",8.6%,0.1%,0.1%,19.3%,4.4%
California,1996,"$3,946.1M",$35.3M,$10.8M,$101.8M,"$4,094.0M","$45,393.1M","$30,339.6M","$12,540.6M","$1,936.7M","$90,210.0M",8.7%,0.1%,0.1%,5.3%,4.5%
California,1997,"$3,410.2M",$437.1M,$9.9M,$41.7M,"$3,898.9M","$49,088.1M","$31,775.3M","$13,991.7M","$2,173.4M","$97,028.5M",6.9%,1.4%,0.1%,1.9%,4.0%
California,1998,"$3,757.8M",$244.9M,$9.9M,$33.0M,"$4,045.6M","$52,874.4M","$31,648.7M","$14,201.8M","$1,451.9M","$100,176.8M",7.1%,0.8%,0.1%,2.3%,4.0%
California,1999,"$4,547.4M",$201.4M,$16.2M,$12.1M,"$4,777.1M","$57,827.1M","$34,375.1M","$14,735.9M","$2,697.3M","$109,635.4M",7.9%,0.6%,0.1%,0.4%,4.4%
California,2000,"$4,932.0M",$29.0M,$16.0M,$9.0M,"$4,986.0M","$66,494.0M","$37,303.0M","$15,787.0M","$2,583.0M","$122,167.0M",7.4%,0.1%,0.1%,0.3%,4.1%
California,2001,"$5,499.0M",$41.0M,$18.0M,$1.0M,"$5,559.0M","$78,053.0M","$41,273.0M","$13,972.0M","$4,357.0M","$137,655.0M",7.0%,0.1%,0.1%,0.0%,4.0%
California,2002,"$5,115.0M",$236.0M,$18.0M,$1.0M,"$5,370.0M","$76,752.0M","$46,623.0M","$19,448.0M","$3,020.0M","$145,843.0M",6.7%,0.5%,0.1%,0.0%,3.7%
California,2003,"$5,365.0M",$125.0M,$18.0M,$1.0M,"$5,509.0M","$77,482.0M","$54,733.0M","$18,282.0M","$11,015.0M","$161,512.0M",6.9%,0.2%,0.1%,0.0%,3.4%
California,2004,"$4,917.0M","$1,079.0M",$2.0M,$9.0M,"$6,007.0M","$78,345.0M","$52,420.0M","$18,892.0M","$6,986.0M","$156,643.0M",6.3%,2.1%,0.0%,0.1%,3.8%
California,2005,"$6,435.0M",$117.0M,$2.0M,$3.0M,"$6,557.0M","$79,807.0M","$52,122.0M","$22,192.0M","$5,595.0M","$159,716.0M",8.1%,0.2%,0.0%,0.1%,4.1%
California,2006,"$7,258.0M",$131.0M,$1.0M,$0.0M,"$7,390.0M","$91,592.0M","$53,569.0M","$22,716.0M","$5,304.0M","$173,181.0M",7.9%,0.2%,0.0%,0.0%,4.3%
California,2007,"$8,677.0M",$121.0M,$20.0M,$0.0M,"$8,818.0M","$101,413.0M","$52,935.0M","$22,554.0M","$6,001.0M","$182,903.0M",8.6%,0.2%,0.1%,0.0%,4.8%
