State Abbrev,States,Notes,,
NE,Nebraska,"While the state did not respond to the survey request for this report, information was obtained by the CSG Justice Center through Nebraska Justice Reinvestment in 2020.",,
NH,New Hampshire,"For 2018, New Hampshire Department of Corrections (DOC) reported more technical violation admissions than total violation admissions. In 2019 and 2020 DOC reported only the number of technical violation admissions and not the total number of violations. Population breakdown of the those with technical violations includes only individuals in the population who were admitted in the month prior to the date of the snapshot.",,
NJ,New Jersey,New Jersey Department of Corrections cannot differentiate between types of post-prison supervision violations. Probation data in the state are maintained by the New Jersey Administrative Office of the Courts and are not reported in this survey.,,
NM,New Mexico,,,
NV,Nevada,The numbers provided exclude jail inmates and those on intermediate sanctions.,,
NY,New York,"Probation terms are not identified in prison data, as probation is operated at the county level and regulated by the state Division of Criminal Justice Services (DCJS). In the previous iteration of this survey, the figures reported for New York excluded individuals admitted and in custody for short incarceration stays and referrals to parole diversion programs for exhibiting pre-violative behavior. In the current survey, these groups have been included.",,
OH,Ohio,,,
OK,Oklahoma,Supervision violation admissions and population data does not include private probation and district attorney supervision. People may return to prison and be identified as having returned due to a technical violation because the disposition of their case has not been determined at that time. Population data does not include admission types for cases older than 15 years.,,
OR,Oregon,"The state abolished parole in 1989 but maintained a form of post-prison supervision (PPS) on a determinate basis. The revocation population is comprised of two groups; those sent to an Oregon Department of Corrections facility if their incarceration time exceeds a year and those sent to a county jail if the incarceration is a year or less.  The state does cover the cost of any revocation sentence regardless of where the incarceration occurs. In the previous iteration of this survey, a large group of revocations was not reported. That omission has been corrected in the current iteration.",,
PA,Pennsylvania,Probation information is not identified in prison data in Pennsylvania since probation is county operated and funded.,,
RI,Rhode Island,"Rhode Island is a unified state, where the state has jurisdiction over people incarcerated in both jail and prison, but figures exclude all admissions awaiting trial and include only sentenced admissions. This was done to more closely align with state definitions and reports. Rhode Island Department of Corrections provided the number of cases where an outcome was still pending. These cases were excluded in the figures reported.",,
SC,South Carolina,"Probation violation numbers only represent admissions of offenders who violated probation as part of a split sentence of incarceration followed by probation.  It does not include probation violators whose original sentence was suspended to probation only, as these are included with new admissions from court. South Carolina was unable to report violations that were technical only because supervision is overseen by the South Carolina Department of Probation, Parole, and Pardon Services, an entity separate from South Carolina Department of Corrections.",,
SD,South Dakota,Parole detainments and community transition program (CTP) relapses are included in the number of violations reported. Technical parole violations may include individuals ultimately receiving a new felony conviction.,,
TN,Tennessee,,,
TX,Texas,"All admissions data include prison, state jail, and Substance Abuse Facility Program (SAFP) admissions. Other alternative and substance addiction and mental health treatment facility admissions are not included. Only people on felony probation can legally be revoked to prison. Parole violation admissions include Mandatory Supervision and Discretionary Mandatory Supervision violation admissions, as well as parole violation admissions to SAFP. This iteration of the survey reports only those probation revocations admitted to TDCJ based on a match of Texas Department of Criminal Justice (TDCJ) and Community Justice Assistance Division (CJAD) data. The prior iteration of the survey included probation revocations not actually admitted. ",,
UT,Utah,Utah Department of Corrections did not provide the number of those in the population incarcerated for technical offenses because an undetermined number had not resolved potential new convictions. Admissions for technical probation and parole violations may include individuals ultimately receiving a new felony conviction. ,,
VA,Virginia,,,
VT,Vermont,"Parole admissions and snapshot total includes people returning from both parole and furlough. Snapshot total prison population data include those housed out-of-state (due to potential movement between in-state and out-of-state Vermont inmates), but does not include those detained pre-trial or held for another jurisdiction.",,
WA,Washington,"Washington’s delivery of supervision is called “community custody” and includes mostly supervision periods following release from incarceration but may also include supervision associated with a sentencing alternative that does not include incarceration. Community supervision includes prison-only, supervision-only, and split sentence populations. For purposes of this report, these were combined as parole/post-release supervision. Population data includes people admitted locally to county jails/supervision violator centers due to a supervision violation for up to 30 days in state-funded jail beds. Approximately one-quarter of the revocation population reported was incarcerated for these sanctions, but will not be fully revoked. Washington does not consider this population to be part of the Department of Corrections prison population, and, as a result, this report will not match data from other published reports.",,
WI,Wisconsin,"Admission figures include alternatives to revocation (ATRs), short-term sanctions, interstate compact, and people returning from serving sentences in other states.",,
WV,West Virginia,"Additional types of supervision were not included in this analysis, such as Community Corrections, Home Confinement, and Sex Offender Supervision Release revocations. Technical probation violations may include individuals ultimately receiving a new felony conviction.",,
WY,Wyoming,"Parole violation admissions include returns from work release, but in the population data, work release returns were not defined and there for not included.",,
